Name,Price,ReviewRatio,TotalReviews,Genres
Sky Seeker,0,0.75,16,"Action,Adventure,Casual,Free To Play,Indie"
NecroVision,85,0.6807,1735,Action
Imagine Lifetimes,80,0.6567,134,"Casual,Indie,Simulation"
The Bond,0,0.9387,163,Animation & Modeling
Mind Zero,80,0.41,100,RPG
Vile,0,0.875,40,"Action,Indie"
Gulman 4: Still alive,0,0.75,136,Action
Pyramid Curse,0,0.8533,75,"Adventure,Casual,Indie"
Victor Vran ARPG,0,0.8579,6360,"Action,Adventure,Indie,RPG"
Mind Massaging Machine,0,0.6875,16,Utilities
C.A.S.T. (CHERNOZEM ANOMALY STRIKE TEAM),0,0.9379,322,"Action,Indie,Massively Multiplayer"
Emberwake,0,0.7143,21,"Casual,Indie,RPG,Strategy"
Super Punchman,0,0.1333,15,"Action,Adventure,Casual,Indie"
RagingBlasters,0,0.9915,117,"Action,Casual,Indie"
Nancy Drew®: The Captive Curse,0,0.8915,212,"Adventure,Casual"
End Of The Mine,0,0.5385,13,"Action,Adventure,Indie"
Wallpaper Maker （造物主视频桌面）,0,0.8298,1539,Utilities
Wheelchair Simulator,0,0.7692,26,"Casual,Simulation,Sports"
Hover Skate VR,0,0.4545,33,"Indie,Simulation,Sports,Early Access"
VEGA Conflict,0,0.5865,4885,"Massively Multiplayer,Strategy,Free To Play"
Bear With Me - Collector's Edition,0,0.8425,362,"Adventure,Indie"
Evil Democracy: 1932,0,0.7511,474,"Indie,Simulation,Strategy"
Woolly Boy and the Circus,0,0.6842,19,"Adventure,Indie,RPG"
The motel,0,0.8542,96,"Adventure,Indie"
Chorus of Carcosa,45,0.848,125,"Adventure,Indie,Simulation"
Investigating Alien Cats 调查外星猫,0,0.8,15,Indie
A Rogue Escape,80,0.8333,42,Simulation
Tribal Wars,0,0.7195,738,"Action,Free To Play,Massively Multiplayer,Strategy"
The Deer,0,0.6867,83,"Adventure,Indie"
Dark Roll: Free Kick Challenge,0,0.8068,1185,"Casual,Indie,Simulation,Sports,Free To Play"
Crypt of the Serpent King,72,0.8175,274,"Action,Indie,RPG"
"Deck of Life: No Turns, Individual Card Permadeath",0,0.6842,19,"Indie,Strategy"
Lingotopia,0,0.4146,41,Adventure
Quantum Conundrum,89,0.8441,2072,"Casual,Strategy"
Knightfall,0,0.9333,15,"Action,Adventure,RPG,Early Access"
No Time to Build,0,1.0,12,"Adventure,Casual,Indie,Massively Multiplayer"
DEMON GAZE EXTRA,0,0.7053,95,RPG
Puffin Planes,30,0.9565,276,"Casual,Indie,Simulation,Strategy"
Girls of The Tower,35,0.8591,575,"Adventure,Indie,Strategy"
Muv-Luv photonflowers*,0,0.9431,246,"Adventure,Casual"
Nexoria: Dungeon Rogue Heroes,0,0.7258,62,"Adventure,Indie,RPG,Strategy"
Bread around bread around bread around bread,10,0.8409,132,"Adventure,Casual,Indie"
Silver Tale,0,0.7011,87,Casual
Furquest,50,0.9038,104,"Action,Adventure,Casual,Indie,RPG"
Reigns: Her Majesty,0,0.8325,1260,"Casual,Indie,Simulation"
Casino Simulator,0,0.2857,14,"Simulation,Strategy,Early Access"
Frail Hearts: Versicorae Domlion,85,0.8889,72,"Indie,RPG"
Peculiar Tales of Mid-Lake Pavilion,0,0.8984,187,"Casual,Indie"
G-Darius HD,0,0.9507,142,Action
Strategy,0,0.6,25,Strategy
Swarm the City: Zombie Evolved,0,0.7727,220,"Casual,Indie,RPG,Simulation,Strategy"
Fire and Fury: English Civil War,0,0.8333,18,Strategy
Hell Slayer,0,0.4667,15,"Action,Indie,RPG,Early Access"
Draw With Unknown,0,0.6639,119,"Casual,Indie"
Whip! Whip!,0,0.8571,21,"Action,Indie"
Candice DeBébé's Scandalous Secrets,70,0.9583,24,"Action,Adventure,Indie,RPG"
D'LIRIUM,0,0.9548,1062,"Action,Adventure,Indie"
DEV Bloodline,0,1.0,11,"Action,Adventure"
